Exit stations,Entry stations->,,WEEKDAY,,,Jun 14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,Exits,,,,,,,,,,,
RM, 	11 , 	124 , 	105 , 	100 , 	442 , 	122 , 	164 , 	151 , 	202 , 	51 , 	110 , 	109 , 	47 , 	39 , 	40 , 	25 , 	19 , 	43 , 	27 , 	13 , 	22 , 	11 , 	13 , 	23 , 	31 , 	324 , 	339 , 	456 , 	305 , 	159 , 	169 , 	40 , 	54 , 	44 , 	14 , 	7 , 	19 , 	6 , 	37 , 	11 , 	29 , 	47 , 	31 , 	6 ," 	4,142 ",,,Eastbay," 	86,423 ",,SF CBD," 	266,270 ",66.1%,,,
EN, 	136 , 	18 , 	113 , 	119 , 	932 , 	165 , 	280 , 	485 , 	629 , 	109 , 	157 , 	176 , 	73 , 	61 , 	66 , 	39 , 	40 , 	80 , 	38 , 	23 , 	50 , 	10 , 	13 , 	36 , 	50 , 	930 ," 	1,057 ", 	979 , 	733 , 	221 , 	190 , 	69 , 	93 , 	77 , 	38 , 	9 , 	38 , 	9 , 	47 , 	28 , 	47 , 	99 , 	64 , 	17 ," 	8,643 ",,,Westbay," 	110,735 ",,non-CBD," 	127,150 ",31.6%,,,
EP, 	107 , 	92 , 	10 , 	75 , 	671 , 	91 , 	138 , 	274 , 	307 , 	75 , 	60 , 	77 , 	30 , 	19 , 	26 , 	9 , 	13 , 	48 , 	19 , 	19 , 	27 , 	9 , 	9 , 	36 , 	19 , 	544 , 	640 , 	440 , 	371 , 	114 , 	56 , 	33 , 	21 , 	25 , 	7 , 	8 , 	21 , 	7 , 	18 , 	10 , 	14 , 	63 , 	24 , 	11 ," 	4,687 ",,,Transbay," 	213,154 ",,,,,,,
NB, 	106 , 	110 , 	76 , 	16 , 	191 , 	78 , 	101 , 	229 , 	256 , 	64 , 	78 , 	90 , 	29 , 	23 , 	28 , 	13 , 	19 , 	34 , 	23 , 	18 , 	35 , 	10 , 	9 , 	20 , 	21 , 	732 , 	809 , 	475 , 	493 , 	166 , 	110 , 	36 , 	27 , 	25 , 	11 , 	10 , 	20 , 	9 , 	13 , 	4 , 	10 , 	96 , 	36 , 	8 ," 	4,767 ",,,,,,,,,,,
BK, 	469 , 	949 , 	685 , 	204 , 	40 , 	374 , 	433 , 	590 , 	615 , 	237 , 	325 , 	274 , 	181 , 	140 , 	149 , 	107 , 	161 , 	325 , 	154 , 	165 , 	174 , 	95 , 	66 , 	66 , 	120 ," 	1,350 "," 	1,175 "," 	1,225 ", 	871 , 	427 , 	316 , 	160 , 	111 , 	129 , 	32 , 	57 , 	162 , 	56 , 	129 , 	30 , 	44 , 	217 , 	184 , 	78 ," 	13,854 ",,,,,,,,,,,
AS, 	125 , 	144 , 	87 , 	72 , 	325 , 	15 , 	108 , 	246 , 	274 , 	76 , 	124 , 	116 , 	46 , 	37 , 	46 , 	30 , 	38 , 	66 , 	27 , 	21 , 	28 , 	11 , 	9 , 	16 , 	40 , 	715 , 	793 , 	503 , 	545 , 	262 , 	141 , 	43 , 	32 , 	32 , 	14 , 	14 , 	24 , 	7 , 	30 , 	6 , 	16 , 	68 , 	37 , 	14 ," 	5,426 ",,,,,,,,,,,
MA, 	172 , 	284 , 	122 , 	95 , 	404 , 	117 , 	17 , 	194 , 	254 , 	80 , 	190 , 	220 , 	138 , 	127 , 	123 , 	71 , 	94 , 	143 , 	145 , 	136 , 	127 , 	58 , 	46 , 	71 , 	74 , 	996 ," 	1,097 ", 	897 , 	826 , 	408 , 	255 , 	73 , 	83 , 	75 , 	29 , 	27 , 	77 , 	61 , 	207 , 	18 , 	33 , 	113 , 	63 , 	25 ," 	8,861 ",,,,,,,,,,,
19, 	171 , 	481 , 	273 , 	243 , 	532 , 	254 , 	187 , 	21 , 	50 , 	48 , 	180 , 	233 , 	224 , 	187 , 	205 , 	147 , 	215 , 	344 , 	312 , 	338 , 	276 , 	151 , 	103 , 	173 , 	84 ," 	1,125 "," 	1,201 ", 	871 , 	907 , 	407 , 	306 , 	150 , 	117 , 	128 , 	68 , 	80 , 	191 , 	175 , 	252 , 	64 , 	49 , 	83 , 	123 , 	95 ," 	11,824 ",,,,,,,,,,,
12, 	210 , 	622 , 	301 , 	256 , 	554 , 	261 , 	238 , 	48 , 	30 , 	47 , 	234 , 	369 , 	352 , 	351 , 	315 , 	188 , 	256 , 	378 , 	340 , 	318 , 	267 , 	156 , 	117 , 	186 , 	98 ," 	1,152 "," 	1,197 ", 	990 , 	941 , 	349 , 	301 , 	176 , 	149 , 	174 , 	118 , 	113 , 	234 , 	183 , 	327 , 	85 , 	80 , 	128 , 	156 , 	123 ," 	13,467 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFO Ext.,Exits
LM, 	50 , 	103 , 	74 , 	63 , 	228 , 	78 , 	80 , 	39 , 	45 , 	13 , 	170 , 	258 , 	284 , 	253 , 	186 , 	104 , 	129 , 	179 , 	37 , 	22 , 	33 , 	14 , 	11 , 	38 , 	47 , 	819 , 	884 , 	711 , 	579 , 	236 , 	141 , 	61 , 	71 , 	64 , 	9 , 	122 , 	191 , 	19 , 	58 , 	12 , 	15 , 	35 , 	20 , 	93 ," 	6,677 ",,,Dtwn SF,"5,801","19,835","33,950","16,141","22,751","26,826","11,516","136,820"
