Exit stations,Entry stations->,,WEEKDAY,,,Feb 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,Exits,,,,,,,,,,,
RM, 	7 , 	111 , 	97 , 	84 , 	399 , 	90 , 	157 , 	137 , 	186 , 	57 , 	106 , 	76 , 	48 , 	36 , 	48 , 	20 , 	16 , 	42 , 	33 , 	20 , 	27 , 	13 , 	10 , 	19 , 	22 , 	224 , 	235 , 	333 , 	226 , 	117 , 	124 , 	31 , 	62 , 	66 , 	16 , 	9 , 	24 , 	9 , 	44 , 	10 , 	12 , 	20 , 	21 , 	1 ," 	3,444 ",,,Eastbay," 	80,921 ",,SF CBD," 	217,339 ",62.9%,,,
EN, 	134 , 	14 , 	101 , 	95 , 	949 , 	138 , 	289 , 	446 , 	605 , 	124 , 	141 , 	146 , 	67 , 	55 , 	91 , 	35 , 	33 , 	80 , 	47 , 	27 , 	36 , 	11 , 	14 , 	36 , 	45 , 	752 , 	838 , 	736 , 	620 , 	152 , 	152 , 	49 , 	106 , 	177 , 	25 , 	7 , 	37 , 	11 , 	52 , 	27 , 	35 , 	55 , 	41 , 	1 ," 	7,633 ",,,Westbay," 	96,483 ",,non-CBD," 	121,374 ",35.1%,,,
EP, 	100 , 	82 , 	7 , 	57 , 	712 , 	80 , 	132 , 	237 , 	291 , 	104 , 	70 , 	65 , 	26 , 	18 , 	30 , 	7 , 	12 , 	40 , 	24 , 	16 , 	24 , 	9 , 	10 , 	35 , 	11 , 	463 , 	580 , 	363 , 	344 , 	77 , 	65 , 	25 , 	37 , 	59 , 	4 , 	5 , 	23 , 	4 , 	11 , 	6 , 	4 , 	35 , 	24 , 	1 ," 	4,329 ",,,Transbay," 	168,791 ",,,,,,,
NB, 	73 , 	77 , 	53 , 	9 , 	212 , 	65 , 	94 , 	197 , 	267 , 	88 , 	70 , 	68 , 	27 , 	22 , 	24 , 	9 , 	12 , 	32 , 	16 , 	15 , 	24 , 	8 , 	10 , 	21 , 	18 , 	590 , 	654 , 	366 , 	404 , 	123 , 	82 , 	27 , 	37 , 	61 , 	4 , 	6 , 	16 , 	3 , 	15 , 	6 , 	6 , 	57 , 	33 , 	1 ," 	4,000 ",,,,,,,,,,,
BK, 	445 , 	968 , 	708 , 	240 , 	23 , 	407 , 	499 , 	527 , 	609 , 	327 , 	314 , 	281 , 	155 , 	159 , 	155 , 	100 , 	148 , 	306 , 	148 , 	146 , 	137 , 	91 , 	65 , 	65 , 	91 , 	789 , 	779 , 	866 , 	796 , 	386 , 	363 , 	138 , 	120 , 	180 , 	39 , 	56 , 	152 , 	43 , 	90 , 	34 , 	30 , 	139 , 	147 , 	6 ," 	12,265 ",,,,,,,,,,,
AS, 	86 , 	118 , 	75 , 	59 , 	350 , 	9 , 	90 , 	188 , 	233 , 	92 , 	109 , 	104 , 	40 , 	47 , 	44 , 	18 , 	22 , 	64 , 	29 , 	22 , 	28 , 	10 , 	9 , 	16 , 	31 , 	472 , 	552 , 	376 , 	403 , 	168 , 	120 , 	28 , 	47 , 	62 , 	9 , 	11 , 	31 , 	7 , 	31 , 	5 , 	6 , 	33 , 	24 , 	1 ," 	4,279 ",,,,,,,,,,,
MA, 	157 , 	283 , 	127 , 	99 , 	483 , 	95 , 	15 , 	185 , 	271 , 	112 , 	201 , 	221 , 	116 , 	117 , 	128 , 	68 , 	71 , 	134 , 	131 , 	113 , 	123 , 	45 , 	37 , 	71 , 	70 , 	848 , 	971 , 	764 , 	754 , 	291 , 	200 , 	84 , 	100 , 	134 , 	28 , 	33 , 	81 , 	37 , 	188 , 	24 , 	21 , 	65 , 	43 , 	3 ," 	8,143 ",,,,,,,,,,,
19, 	142 , 	447 , 	226 , 	204 , 	467 , 	189 , 	179 , 	14 , 	65 , 	52 , 	149 , 	196 , 	218 , 	196 , 	225 , 	174 , 	172 , 	364 , 	272 , 	337 , 	253 , 	148 , 	104 , 	162 , 	63 , 	800 , 	826 , 	655 , 	701 , 	267 , 	243 , 	131 , 	121 , 	163 , 	59 , 	66 , 	232 , 	142 , 	239 , 	66 , 	45 , 	41 , 	97 , 	10 ," 	9,920 ",,,,,,,,,,,
12, 	196 , 	606 , 	287 , 	275 , 	537 , 	238 , 	251 , 	57 , 	23 , 	63 , 	246 , 	349 , 	333 , 	346 , 	308 , 	224 , 	244 , 	509 , 	316 , 	366 , 	335 , 	181 , 	149 , 	203 , 	92 , 	896 , 	946 , 	876 , 	803 , 	272 , 	290 , 	159 , 	158 , 	202 , 	95 , 	111 , 	321 , 	143 , 	300 , 	73 , 	70 , 	85 , 	125 , 	16 ," 	12,679 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFO Ext.,Exits
LM, 	59 , 	117 , 	100 , 	87 , 	320 , 	88 , 	116 , 	49 , 	64 , 	10 , 	209 , 	280 , 	276 , 	253 , 	180 , 	119 , 	127 , 	177 , 	34 , 	26 , 	36 , 	15 , 	13 , 	40 , 	52 , 	527 , 	625 , 	542 , 	439 , 	162 , 	119 , 	53 , 	80 , 	139 , 	9 , 	94 , 	227 , 	13 , 	50 , 	14 , 	10 , 	17 , 	19 , 	8 ," 	5,994 ",,,Dtwn SF,"4,946","15,331","30,371","11,816","18,515","21,559","8,437","110,975"
