Exit stations,Entry stations->,,WEEKDAY,,,Jul 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,Exits,,,,,,,,,,,
BF, 	36 , 	52 , 	14 , 	18 , 	157 , 	44 , 	107 , 	190 , 	330 , 	224 , 	269 , 	191 , 	104 , 	9 , 	153 , 	125 , 	128 , 	220 , 	28 , 	16 , 	22 , 	5 , 	7 , 	11 , 	38 , 	531 , 	536 , 	420 , 	332 , 	81 , 	52 , 	25 , 	32 , 	38 , 	13 , 	63 , 	271 , 	7 , 	26 , 	10 , 	9 , 	13 , 	15 ," 	4,973 ",,,WP line,"18,877","4,375","1,972","1,631","5,160","1,783","1,078","34,877"
HY, 	35 , 	71 , 	26 , 	14 , 	130 , 	40 , 	118 , 	207 , 	264 , 	137 , 	235 , 	192 , 	146 , 	171 , 	8 , 	110 , 	172 , 	310 , 	28 , 	21 , 	19 , 	6 , 	7 , 	18 , 	36 , 	365 , 	329 , 	266 , 	220 , 	65 , 	37 , 	21 , 	24 , 	28 , 	8 , 	25 , 	84 , 	10 , 	29 , 	7 , 	10 , 	14 , 	12 ," 	4,078 ",,,FT/ED line,"21,742","7,807","2,750","4,160","1,790","12,657",786,"51,692"
SH, 	20 , 	28 , 	7 , 	10 , 	109 , 	20 , 	63 , 	145 , 	204 , 	100 , 	110 , 	104 , 	75 , 	122 , 	110 , 	5 , 	68 , 	157 , 	14 , 	10 , 	11 , 	3 , 	2 , 	8 , 	16 , 	365 , 	315 , 	218 , 	187 , 	51 , 	34 , 	10 , 	12 , 	21 , 	8 , 	19 , 	56 , 	4 , 	14 , 	6 , 	5 , 	9 , 	7 ," 	2,864 ",,,SFIA,"8,629",949,"2,512",938,"1,064",723,988,"15,804"
UC, 	23 , 	34 , 	12 , 	9 , 	176 , 	33 , 	71 , 	167 , 	211 , 	112 , 	91 , 	117 , 	85 , 	137 , 	188 , 	70 , 	10 , 	169 , 	18 , 	17 , 	15 , 	4 , 	4 , 	11 , 	17 , 	645 , 	531 , 	298 , 	206 , 	42 , 	21 , 	11 , 	18 , 	26 , 	10 , 	16 , 	58 , 	3 , 	14 , 	6 , 	5 , 	22 , 	6 ," 	3,737 ",,,Entries,"109,796","38,557","49,290","33,216","34,265","51,451","16,319","332,894"
FM, 	35 , 	75 , 	33 , 	34 , 	430 , 	54 , 	125 , 	360 , 	440 , 	172 , 	142 , 	251 , 	149 , 	240 , 	320 , 	176 , 	165 , 	22 , 	28 , 	32 , 	26 , 	8 , 	11 , 	26 , 	22 ," 	1,360 "," 	1,097 ", 	553 , 	363 , 	94 , 	38 , 	23 , 	29 , 	48 , 	8 , 	31 , 	92 , 	6 , 	38 , 	7 , 	9 , 	52 , 	7 ," 	7,226 ",,,,,,,,,,,
CN, 	26 , 	41 , 	21 , 	14 , 	124 , 	31 , 	130 , 	253 , 	317 , 	29 , 	50 , 	86 , 	29 , 	31 , 	28 , 	17 , 	20 , 	26 , 	12 , 	109 , 	324 , 	106 , 	50 , 	97 , 	17 , 	774 , 	702 , 	403 , 	363 , 	72 , 	65 , 	42 , 	30 , 	47 , 	17 , 	5 , 	15 , 	60 , 	300 , 	13 , 	22 , 	85 , 	27 ," 	5,031 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFIA,
PH, 	13 , 	23 , 	18 , 	15 , 	148 , 	27 , 	91 , 	289 , 	309 , 	24 , 	33 , 	99 , 	22 , 	14 , 	20 , 	13 , 	19 , 	29 , 	112 , 	10 , 	114 , 	40 , 	32 , 	109 , 	12 ," 	1,276 "," 	1,198 ", 	479 , 	398 , 	86 , 	46 , 	65 , 	26 , 	67 , 	22 , 	3 , 	10 , 	33 , 	124 , 	24 , 	23 , 	114 , 	22 ," 	5,652 ",,,Dtwn SF,"4,960",,,,,,,
WC, 	24 , 	37 , 	25 , 	24 , 	189 , 	32 , 	132 , 	243 , 	323 , 	27 , 	46 , 	101 , 	24 , 	18 , 	19 , 	12 , 	17 , 	27 , 	379 , 	122 , 	14 , 	69 , 	61 , 	177 , 	18 ," 	1,246 "," 	1,076 ", 	532 , 	367 , 	91 , 	53 , 	57 , 	27 , 	52 , 	18 , 	8 , 	9 , 	62 , 	212 , 	15 , 	19 , 	146 , 	27 ," 	6,180 ",,,OAK,"29,527","1,805",,,,,,
LF, 	10 , 	8 , 	11 , 	15 , 	110 , 	12 , 	46 , 	137 , 	176 , 	13 , 	21 , 	56 , 	9 , 	7 , 	6 , 	4 , 	4 , 	7 , 	128 , 	48 , 	86 , 	8 , 	21 , 	89 , 	7 , 	877 , 	730 , 	291 , 	211 , 	41 , 	24 , 	18 , 	7 , 	22 , 	3 , 	1 , 	2 , 	18 , 	32 , 	2 , 	9 , 	74 , 	11 ," 	3,412 ",,,CM line,"56,773","6,897","6,830",,,,,
OR, 	6 , 	14 , 	8 , 	9 , 	80 , 	12 , 	44 , 	89 , 	150 , 	16 , 	31 , 	44 , 	9 , 	6 , 	7 , 	2 , 	4 , 	10 , 	54 , 	35 , 	62 , 	24 , 	7 , 	77 , 	6 , 	731 , 	628 , 	229 , 	188 , 	37 , 	23 , 	20 , 	9 , 	14 , 	3 , 	2 , 	3 , 	7 , 	21 , 	3 , 	7 , 	54 , 	10 ," 	2,794 ",,,RM line,"25,043","10,861","5,429","6,391",,,,
RR, 	19 , 	28 , 	31 , 	19 , 	73 , 	14 , 	51 , 	147 , 	226 , 	35 , 	52 , 	84 , 	21 , 	13 , 	17 , 	11 , 	10 , 	26 , 	93 , 	100 , 	172 , 	92 , 	73 , 	11 , 	18 ," 	1,042 "," 	1,046 ", 	561 , 	458 , 	159 , 	101 , 	52 , 	24 , 	29 , 	5 , 	8 , 	17 , 	15 , 	48 , 	7 , 	10 , 	108 , 	22 ," 	5,147 ",,,WP line,"37,300","8,753","3,848","3,204","5,160",,,
OW, 	23 , 	40 , 	11 , 	14 , 	77 , 	29 , 	66 , 	60 , 	92 , 	31 , 	107 , 	96 , 	39 , 	40 , 	36 , 	18 , 	14 , 	21 , 	18 , 	12 , 	17 , 	6 , 	6 , 	14 , 	7 ," 	1,245 ", 	966 , 	651 , 	453 , 	167 , 	105 , 	40 , 	39 , 	37 , 	11 , 	8 , 	24 , 	4 , 	35 , 	8 , 	14 , 	41 , 	21 ," 	4,765 ",,,FT/ED line,"43,576","15,563","5,408","8,200","3,573","12,657",,
EM, 	275 , 	800 , 	583 , 	592 ," 	1,144 ", 	562 , 	975 , 	977 ," 	1,157 ", 	688 , 	786 , 	600 , 	745 , 	638 , 	436 , 	443 , 	710 ," 	1,505 ", 	903 ," 	1,519 "," 	1,445 ", 	949 , 	765 , 	997 ," 	1,380 ", 	100 , 	114 , 	526 , 	493 , 	955 ," 	1,520 "," 	1,130 "," 	1,480 "," 	1,088 ", 	602 , 	521 ," 	2,159 ", 	411 , 	740 , 	483 , 	417 , 	512 , 	798 ," 	35,621 ",,,SFIA,"17,815","1,877","4,922","1,882","2,143","1,509",988,"332,894"
MT, 	238 , 	668 , 	534 , 	547 , 	872 , 	523 , 	914 , 	720 , 	863 , 	590 , 	653 , 	424 , 	571 , 	551 , 	361 , 	342 , 	557 ," 	1,094 ", 	704 ," 	1,173 "," 	1,014 ", 	673 , 	569 , 	895 ," 	1,038 ", 	130 , 	72 , 	206 , 	462 ," 	1,172 "," 	1,972 "," 	1,504 "," 	2,326 "," 	1,326 ", 	755 , 	413 ," 	1,388 ", 	310 , 	579 , 	619 , 	463 , 	494 , 	985 ," 	32,265 ",,,,,,,,,,,
PL, 	252 , 	543 , 	293 , 	313 , 	956 , 	306 , 	652 , 	553 , 	781 , 	447 , 	574 , 	573 , 	363 , 	349 , 	211 , 	184 , 	238 , 	463 , 	327 , 	402 , 	443 , 	241 , 	190 , 	441 , 	599 , 	737 , 	319 , 	94 , 	426 ," 	1,370 "," 	1,884 "," 	1,135 "," 	2,146 "," 	1,047 ", 	542 , 	191 , 	754 , 	170 , 	378 , 	369 , 	306 ," 	1,588 ", 	641 ," 	24,792 ",,,,,,,,,,,
CC, 	190 , 	470 , 	259 , 	281 , 	617 , 	314 , 	575 , 	490 , 	536 , 	358 , 	525 , 	327 , 	323 , 	292 , 	191 , 	161 , 	198 , 	340 , 	316 , 	349 , 	306 , 	173 , 	159 , 	369 , 	464 , 	446 , 	405 , 	375 , 	55 , 	744 ," 	1,070 ", 	696 ," 	1,344 ", 	664 , 	396 , 	169 , 	509 , 	142 , 	372 , 	320 , 	246 , 	523 , 	423 ," 	17,479 ",,,,,,,,,,,
16, 	104 , 	111 , 	67 , 	117 , 	356 , 	156 , 	269 , 	256 , 	247 , 	136 , 	195 , 	129 , 	97 , 	78 , 	57 , 	49 , 	38 , 	91 , 	65 , 	87 , 	88 , 	41 , 	37 , 	134 , 	163 , 	916 ," 	1,071 "," 	1,622 ", 	831 , 	27 , 	328 , 	345 , 	657 , 	235 , 	144 , 	40 , 	122 , 	29 , 	118 , 	95 , 	93 , 	179 , 	185 ," 	10,204 ",,,,,,,,,,,
24, 	100 , 	115 , 	43 , 	75 , 	282 , 	111 , 	185 , 	217 , 	237 , 	95 , 	135 , 	111 , 	65 , 	53 , 	38 , 	33 , 	20 , 	38 , 	59 , 	43 , 	50 , 	27 , 	20 , 	98 , 	119 ," 	1,262 "," 	1,561 "," 	2,193 "," 	1,125 ", 	312 , 	41 , 	279 , 	539 , 	232 , 	139 , 	17 , 	67 , 	25 , 	92 , 	72 , 	118 , 	179 , 	184 ," 	10,806 ",,,,,,,,,,,
GP, 	25 , 	40 , 	25 , 	27 , 	135 , 	27 , 	78 , 	124 , 	131 , 	49 , 	47 , 	59 , 	34 , 	24 , 	23 , 	11 , 	11 , 	22 , 	37 , 	59 , 	56 , 	20 , 	20 , 	49 , 	38 ," 	1,026 "," 	1,166 "," 	1,368 ", 	666 , 	312 , 	278 , 	33 , 	110 , 	63 , 	61 , 	14 , 	58 , 	9 , 	47 , 	35 , 	60 , 	85 , 	108 ," 	6,671 ",,,,,,,,,,,
BP, 	41 , 	57 , 	15 , 	12 , 	107 , 	28 , 	53 , 	85 , 	112 , 	59 , 	59 , 	50 , 	37 , 	32 , 	23 , 	11 , 	17 , 	26 , 	34 , 	25 , 	26 , 	8 , 	7 , 	20 , 	44 ," 	1,253 "," 	1,374 "," 	2,838 "," 	1,174 ", 	581 , 	535 , 	111 , 	42 , 	83 , 	96 , 	12 , 	55 , 	8 , 	49 , 	51 , 	107 , 	59 , 	124 ," 	9,540 ",,,,,,,,,,,
DC, 	30 , 	62 , 	31 , 	27 , 	136 , 	31 , 	76 , 	136 , 	159 , 	67 , 	68 , 	73 , 	43 , 	38 , 	30 , 	24 , 	27 , 	41 , 	48 , 	65 , 	50 , 	22 , 	14 , 	27 , 	45 ," 	1,031 "," 	1,184 "," 	1,249 ", 	689 , 	251 , 	256 , 	74 , 	102 , 	17 , 	51 , 	18 , 	94 , 	18 , 	52 , 	55 , 	108 , 	107 , 	201 ," 	6,926 ",,,,,,,,,,,
CM, 	17 , 	23 , 	4 , 	4 , 	41 , 	8 , 	22 , 	65 , 	88 , 	11 , 	15 , 	13 , 	8 , 	11 , 	8 , 	8 , 	8 , 	6 , 	17 , 	20 , 	18 , 	5 , 	3 , 	5 , 	11 , 	597 , 	670 , 	627 , 	413 , 	135 , 	150 , 	57 , 	101 , 	44 , 	8 , 	3 , 	24 , 	8 , 	21 , 	15 , 	56 , 	40 , 	94 ," 	3,503 ",,,,,,,,,,,
CV, 	7 , 	9 , 	5 , 	7 , 	65 , 	12 , 	30 , 	62 , 	87 , 	90 , 	56 , 	84 , 	41 , 	69 , 	26 , 	18 , 	17 , 	32 , 	5 , 	5 , 	7 , 	1 , 	2 , 	7 , 	9 , 	456 , 	411 , 	230 , 	179 , 	40 , 	21 , 	12 , 	11 , 	18 , 	4 , 	5 , 	141 , 	1 , 	4 , 	4 , 	4 , 	18 , 	5 ," 	2,318 ",,,,,,,,,,,
ED, 	28 , 	42 , 	18 , 	17 , 	241 , 	34 , 	88 , 	223 , 	292 , 	215 , 	159 , 	413 , 	124 , 	274 , 	87 , 	61 , 	60 , 	92 , 	14 , 	11 , 	10 , 	3 , 	4 , 	17 , 	25 ," 	1,898 "," 	1,395 ", 	833 , 	562 , 	122 , 	69 , 	62 , 	61 , 	95 , 	27 , 	166 , 	28 , 	3 , 	14 , 	17 , 	21 , 	165 , 	27 ," 	8,120 ",,,,,,,,,,,
NC, 	5 , 	8 , 	4 , 	5 , 	38 , 	6 , 	35 , 	100 , 	113 , 	8 , 	11 , 	31 , 	6 , 	7 , 	9 , 	5 , 	3 , 	6 , 	59 , 	33 , 	63 , 	15 , 	5 , 	20 , 	4 , 	358 , 	298 , 	188 , 	154 , 	30 , 	25 , 	9 , 	8 , 	17 , 	7 , 	1 , 	2 , 	4 , 	58 , 	6 , 	9 , 	36 , 	11 ," 	1,817 ",,,,,,,,,,,
WP, 	45 , 	49 , 	14 , 	14 , 	106 , 	27 , 	178 , 	217 , 	276 , 	34 , 	62 , 	119 , 	30 , 	25 , 	30 , 	18 , 	15 , 	36 , 	316 , 	135 , 	213 , 	33 , 	24 , 	52 , 	35 , 	625 , 	544 , 	456 , 	450 , 	127 , 	99 , 	48 , 	51 , 	54 , 	23 , 	6 , 	16 , 	65 , 	14 , 	17 , 	26 , 	87 , 	33 ," 	4,846 ",,,,,,,,,,,
SS, 	11 , 	21 , 	8 , 	6 , 	35 , 	4 , 	21 , 	63 , 	80 , 	14 , 	14 , 	18 , 	9 , 	8 , 	6 , 	6 , 	5 , 	7 , 	12 , 	24 , 	16 , 	3 , 	4 , 	7 , 	9 , 	487 , 	549 , 	426 , 	322 , 	84 , 	79 , 	36 , 	57 , 	51 , 	15 , 	4 , 	18 , 	6 , 	15 , 	5 , 	37 , 	24 , 	53 ," 	2,679 ",,,,,,,,,,,
SB, 	11 , 	33 , 	5 , 	8 , 	34 , 	7 , 	21 , 	35 , 	61 , 	14 , 	17 , 	21 , 	14 , 	10 , 	9 , 	4 , 	6 , 	10 , 	20 , 	22 , 	18 , 	10 , 	7 , 	10 , 	17 , 	423 , 	438 , 	354 , 	270 , 	102 , 	127 , 	63 , 	126 , 	126 , 	59 , 	3 , 	21 , 	7 , 	23 , 	40 , 	7 , 	45 , 	64 ," 	2,719 ",,,,,,,,,,,
SO, 	30 , 	51 , 	49 , 	72 , 	161 , 	46 , 	91 , 	56 , 	82 , 	30 , 	40 , 	45 , 	22 , 	14 , 	12 , 	7 , 	14 , 	43 , 	86 , 	118 , 	147 , 	70 , 	54 , 	108 , 	56 , 	477 , 	455 ," 	1,197 ", 	492 , 	182 , 	185 , 	90 , 	63 , 	107 , 	44 , 	15 , 	142 , 	37 , 	85 , 	28 , 	49 , 	15 , 	246 ," 	5,414 ",,,,,,,,,,,
MB, 	25 , 	56 , 	22 , 	26 , 	190 , 	25 , 	47 , 	98 , 	108 , 	24 , 	27 , 	44 , 	20 , 	12 , 	9 , 	6 , 	6 , 	5 , 	26 , 	23 , 	26 , 	10 , 	10 , 	20 , 	23 , 	764 , 	888 , 	674 , 	414 , 	180 , 	181 , 	108 , 	141 , 	203 , 	104 , 	6 , 	28 , 	12 , 	28 , 	60 , 	62 , 	233 , 	18 ," 	4,992 ",,,,,,,,,,,
Entries," 	3,247 "," 	6,522 "," 	3,967 "," 	3,569 "," 	11,847 "," 	4,064 "," 	7,466 "," 	9,169 "," 	11,749 "," 	5,193 "," 	6,480 "," 	6,660 "," 	4,881 "," 	5,063 "," 	4,087 "," 	2,971 "," 	3,705 "," 	7,124 "," 	5,106 "," 	5,807 "," 	6,082 "," 	3,290 "," 	2,689 "," 	4,668 "," 	4,979 "," 	32,083 "," 	30,278 "," 	28,069 "," 	19,366 "," 	10,069 "," 	11,357 "," 	7,052 "," 	10,433 "," 	6,844 "," 	3,535 "," 	2,349 "," 	8,132 "," 	1,874 "," 	4,749 "," 	2,713 "," 	2,618 "," 	5,888 "," 	5,100 "," 	332,894 ",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
