Exit stations,Entry stations->,,WEEKDAY,,,Jan 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,Exits,,,,,,,,,,,
RM, 	6 , 	120 , 	112 , 	80 , 	348 , 	96 , 	156 , 	141 , 	184 , 	40 , 	105 , 	80 , 	46 , 	41 , 	46 , 	19 , 	18 , 	39 , 	29 , 	18 , 	24 , 	11 , 	12 , 	21 , 	25 , 	222 , 	229 , 	329 , 	220 , 	116 , 	124 , 	30 , 	56 , 	40 , 	15 , 	9 , 	26 , 	7 , 	36 , 	11 , 	12 , 	26 , 	23 ," 	3,347 ",,,Eastbay," 	77,641 ",,SF CBD," 	212,378 ",63.6%,,,
EN, 	132 , 	12 , 	105 , 	94 , 	841 , 	138 , 	287 , 	458 , 	614 , 	101 , 	138 , 	142 , 	66 , 	54 , 	89 , 	33 , 	32 , 	77 , 	48 , 	28 , 	36 , 	10 , 	13 , 	37 , 	41 , 	760 , 	806 , 	725 , 	620 , 	146 , 	150 , 	52 , 	92 , 	103 , 	25 , 	8 , 	36 , 	12 , 	46 , 	23 , 	34 , 	62 , 	42 ," 	7,364 ",,,Westbay," 	93,020 ",,non-CBD," 	114,603 ",34.3%,,,
EP, 	107 , 	89 , 	7 , 	61 , 	627 , 	82 , 	136 , 	244 , 	295 , 	75 , 	68 , 	60 , 	28 , 	18 , 	32 , 	5 , 	14 , 	35 , 	22 , 	15 , 	22 , 	9 , 	10 , 	36 , 	13 , 	471 , 	575 , 	361 , 	340 , 	82 , 	64 , 	26 , 	33 , 	37 , 	3 , 	6 , 	20 , 	4 , 	10 , 	6 , 	5 , 	44 , 	23 ," 	4,219 ",,,Transbay," 	163,385 ",,,,,,,
NB, 	70 , 	77 , 	56 , 	7 , 	183 , 	61 , 	93 , 	195 , 	260 , 	70 , 	69 , 	60 , 	26 , 	22 , 	24 , 	9 , 	11 , 	30 , 	12 , 	14 , 	23 , 	9 , 	10 , 	20 , 	18 , 	597 , 	635 , 	376 , 	383 , 	128 , 	88 , 	26 , 	32 , 	32 , 	5 , 	7 , 	15 , 	4 , 	14 , 	6 , 	5 , 	72 , 	32 ," 	3,885 ",,,,,,,,,,,
BK, 	396 , 	862 , 	626 , 	201 , 	18 , 	364 , 	455 , 	473 , 	555 , 	210 , 	280 , 	275 , 	132 , 	137 , 	140 , 	85 , 	133 , 	260 , 	129 , 	136 , 	128 , 	87 , 	58 , 	63 , 	77 , 	708 , 	691 , 	792 , 	679 , 	339 , 	328 , 	119 , 	101 , 	131 , 	34 , 	51 , 	141 , 	39 , 	85 , 	26 , 	30 , 	212 , 	130 ," 	10,913 ",,,,,,,,,,,
AS, 	91 , 	117 , 	79 , 	57 , 	309 , 	8 , 	96 , 	185 , 	230 , 	67 , 	108 , 	100 , 	38 , 	49 , 	45 , 	18 , 	22 , 	61 , 	31 , 	22 , 	30 , 	12 , 	8 , 	18 , 	32 , 	458 , 	533 , 	384 , 	383 , 	166 , 	112 , 	27 , 	43 , 	35 , 	9 , 	10 , 	28 , 	7 , 	29 , 	5 , 	8 , 	48 , 	24 ," 	4,142 ",,,,,,,,,,,
MA, 	160 , 	275 , 	127 , 	95 , 	433 , 	98 , 	14 , 	175 , 	258 , 	88 , 	192 , 	197 , 	117 , 	121 , 	125 , 	67 , 	75 , 	135 , 	124 , 	118 , 	125 , 	50 , 	40 , 	68 , 	66 , 	854 , 	943 , 	757 , 	741 , 	300 , 	205 , 	84 , 	96 , 	90 , 	28 , 	35 , 	81 , 	36 , 	181 , 	25 , 	22 , 	81 , 	40 ," 	7,937 ",,,,,,,,,,,
19, 	151 , 	460 , 	235 , 	206 , 	413 , 	182 , 	165 , 	10 , 	66 , 	43 , 	148 , 	192 , 	213 , 	203 , 	232 , 	167 , 	183 , 	375 , 	274 , 	341 , 	258 , 	155 , 	110 , 	173 , 	57 , 	779 , 	790 , 	663 , 	697 , 	261 , 	234 , 	140 , 	118 , 	145 , 	62 , 	63 , 	244 , 	142 , 	248 , 	67 , 	42 , 	51 , 	96 ," 	9,856 ",,,,,,,,,,,
12, 	193 , 	607 , 	295 , 	257 , 	483 , 	237 , 	236 , 	58 , 	20 , 	45 , 	225 , 	327 , 	340 , 	342 , 	314 , 	223 , 	243 , 	485 , 	319 , 	364 , 	339 , 	181 , 	150 , 	196 , 	83 , 	880 , 	909 , 	835 , 	760 , 	264 , 	286 , 	159 , 	149 , 	173 , 	93 , 	113 , 	343 , 	141 , 	297 , 	72 , 	70 , 	87 , 	126 ," 	12,319 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFO Ext.,Exits
LM, 	38 , 	88 , 	74 , 	68 , 	202 , 	67 , 	90 , 	38 , 	46 , 	8 , 	168 , 	217 , 	248 , 	225 , 	162 , 	105 , 	125 , 	167 , 	31 , 	24 , 	30 , 	14 , 	13 , 	37 , 	44 , 	532 , 	600 , 	527 , 	409 , 	151 , 	115 , 	48 , 	67 , 	81 , 	9 , 	91 , 	238 , 	13 , 	47 , 	14 , 	10 , 	26 , 	18 ," 	5,324 ",,,Dtwn SF,"4,524","14,980","29,389","11,300","18,395","21,277","8,373","108,239"
